IND;INDIA;+91;00001;user001;2020/04/01;MH;Maharashtra
IND;INDIA;+91;00001;user001;2020/04/01;MP;Madhya Pradesh
IND;INDIA;+91;00001;user001;2020/04/01;UP;Uttar Pradesh
IND;INDIA;+91;00001;user001;2020/04/01;WB;West Bengal
IND;INDIA;+91;00001;user001;2020/04/01;AP;Andhra Pradesh
USA;UNITED STATES;+1;00002;user002;2020/04/01;FL;Florida
USA;UNITED STATES;+1;00002;user002;2020/04/01;AL;Alaska
USA;UNITED STATES;+1;00002;user002;2020/04/01;NY;New York
UK;UNITED KINGDOM;+44;00003;user003;2020/04/01;;
AUS;AUSTRALIA;+61;00004;user001;2020/04/01;;
